,driver,race,constructor,year
439,ZHO,21,ALF,2023
440,VER,22,RBR,2023
441,PER,22,RBR,2023
442,NOR,22,MCL,2023
443,PIA,22,MCL,2023
444,HAM,22,MER,2023
445,RUS,22,MER,2023
446,LEC,22,FER,2023
447,SAI,22,FER,2023
448,ALO,22,AMR,2023
449,STR,22,AMR,2023
450,OCO,22,ALP,2023
451,GAS,22,ALP,2023
452,TSU,22,AT,2023
454,RIC,22,AT,2023
456,ALB,22,WIL,2023
457,SAR,22,WIL,2023
458,MAG,22,HAS,2023
459,HUL,22,HAS,2023
460,BOT,22,ALF,2023
461,ZHO,22,ALF,2023
462,VER,23,RBR,2023
463,PER,23,RBR,2023
464,NOR,23,MCL,2023
465,PIA,23,MCL,2023
466,HAM,23,MER,2023
467,RUS,23,MER,2023
468,LEC,23,FER,2023
469,SAI,23,FER,2023
470,ALO,23,AMR,2023
471,STR,23,AMR,2023
472,OCO,23,ALP,2023
473,GAS,23,ALP,2023
474,TSU,23,AT,2023
476,RIC,23,AT,2023
478,ALB,23,WIL,2023
479,SAR,23,WIL,2023
480,MAG,23,HAS,2023
481,HUL,23,HAS,2023
482,BOT,23,ALF,2023
483,ZHO,23,ALF,2023
484,VER,1,RBR,2024
485,PER,1,RBR,2024
486,NOR,1,MCL,2024
487,PIA,1,MCL,2024
488,HAM,1,MER,2024
489,RUS,1,MER,2024
490,LEC,1,FER,2024
491,SAI,1,FER,2024
493,ALO,1,AMR,2024
494,STR,1,AMR,2024
495,OCO,1,ALP,2024
496,GAS,1,ALP,2024
497,TSU,1,RB,2024
498,RIC,1,RB,2024
500,ALB,1,WIL,2024
502,SAR,1,WIL,2024
503,MAG,1,HAS,2024
504,HUL,1,HAS,2024
505,BOT,1,STK,2024
506,ZHO,1,STK,2024
507,VER,2,RBR,2024
508,PER,2,RBR,2024
509,NOR,2,MCL,2024
510,PIA,2,MCL,2024
511,HAM,2,MER,2024
512,RUS,2,MER,2024
513,LEC,2,FER,2024
515,BEA,2,FER,2024
516,ALO,2,AMR,2024
517,STR,2,AMR,2024
518,OCO,2,ALP,2024
519,GAS,2,ALP,2024
520,TSU,2,RB,2024
521,RIC,2,RB,2024
523,ALB,2,WIL,2024
525,SAR,2,WIL,2024
526,MAG,2,HAS,2024
527,HUL,2,HAS,2024
528,BOT,2,STK,2024
529,ZHO,2,STK,2024
530,VER,3,RBR,2024
531,PER,3,RBR,2024
532,NOR,3,MCL,2024
533,PIA,3,MCL,2024
534,HAM,3,MER,2024
535,RUS,3,MER,2024
536,LEC,3,FER,2024
537,SAI,3,FER,2024
539,ALO,3,AMR,2024
540,STR,3,AMR,2024
541,OCO,3,ALP,2024
542,GAS,3,ALP,2024
543,TSU,3,RB,2024
544,RIC,3,RB,2024
546,ALB,3,WIL,2024
548,SAR,3,WIL,2024
549,MAG,3,HAS,2024
550,HUL,3,HAS,2024
551,BOT,3,STK,2024
552,ZHO,3,STK,2024
553,VER,4,RBR,2024
554,PER,4,RBR,2024
555,NOR,4,MCL,2024
556,PIA,4,MCL,2024
557,HAM,4,MER,2024
558,RUS,4,MER,2024
559,LEC,4,FER,2024
560,SAI,4,FER,2024
562,ALO,4,AMR,2024
563,STR,4,AMR,2024
564,OCO,4,ALP,2024
565,GAS,4,ALP,2024
566,TSU,4,RB,2024
567,RIC,4,RB,2024
569,ALB,4,WIL,2024
571,SAR,4,WIL,2024
572,MAG,4,HAS,2024
573,HUL,4,HAS,2024
574,BOT,4,STK,2024
575,ZHO,4,STK,2024
576,VER,5,RBR,2024
577,PER,5,RBR,2024
578,NOR,5,MCL,2024
579,PIA,5,MCL,2024
580,HAM,5,MER,2024
581,RUS,5,MER,2024
582,LEC,5,FER,2024
583,SAI,5,FER,2024
585,ALO,5,AMR,2024
586,STR,5,AMR,2024
587,OCO,5,ALP,2024
588,GAS,5,ALP,2024
589,TSU,5,RB,2024
590,RIC,5,RB,2024
592,ALB,5,WIL,2024
594,SAR,5,WIL,2024
595,MAG,5,HAS,2024
596,HUL,5,HAS,2024
597,BOT,5,STK,2024
598,ZHO,5,STK,2024
599,VER,6,RBR,2024
600,PER,6,RBR,2024
601,NOR,6,MCL,2024
602,PIA,6,MCL,2024
603,HAM,6,MER,2024
604,RUS,6,MER,2024
605,LEC,6,FER,2024
606,SAI,6,FER,2024
608,ALO,6,AMR,2024
609,STR,6,AMR,2024
610,OCO,6,ALP,2024
611,GAS,6,ALP,2024
612,TSU,6,RB,2024
613,RIC,6,RB,2024
615,ALB,6,WIL,2024
617,SAR,6,WIL,2024
618,MAG,6,HAS,2024
619,HUL,6,HAS,2024
620,BOT,6,STK,2024
621,ZHO,6,STK,2024
622,VER,7,RBR,2024
623,PER,7,RBR,2024
624,NOR,7,MCL,2024
625,PIA,7,MCL,2024
626,HAM,7,MER,2024
627,RUS,7,MER,2024
628,LEC,7,FER,2024
